#fa/C	ma
1.988828e+07	1.749943e+01
2.007267e+07	1.779745e+01
2.025878e+07	1.810055e+01
2.044661e+07	1.840994e+01
2.063618e+07	1.872461e+01
2.082751e+07	1.904538e+01
2.102061e+07	1.937235e+01
2.121550e+07	1.970493e+01
2.141220e+07	2.004435e+01
2.161073e+07	2.038962e+01
2.181109e+07	2.074176e+01
2.201331e+07	2.110092e+01
2.221741e+07	2.146630e+01
2.242340e+07	2.183663e+01
2.263130e+07	2.221334e+01
2.284112e+07	2.259866e+01
2.305289e+07	2.299296e+01
2.326663e+07	2.339414e+01
2.348235e+07	2.380262e+01
2.370006e+07	2.421824e+01
2.391980e+07	2.464163e+01
2.414157e+07	2.507303e+01
2.436540e+07	2.551197e+01
2.459130e+07	2.595894e+01
2.481930e+07	2.641375e+01
2.504942e+07	2.687815e+01
2.528166e+07	2.735270e+01
2.551606e+07	2.783564e+01
2.575263e+07	2.832667e+01
2.599140e+07	2.882635e+01
2.623238e+07	2.933523e+01
2.647559e+07	2.985361e+01
2.672106e+07	3.038115e+01
2.696881e+07	3.091886e+01
2.721885e+07	3.146616e+01
2.747121e+07	3.202489e+01
2.772591e+07	3.259599e+01
2.798297e+07	3.317727e+01
2.824241e+07	3.376666e+01
2.850426e+07	3.436632e+01
2.876854e+07	3.497798e+01
2.903527e+07	3.560254e+01
2.930447e+07	3.623825e+01
2.957617e+07	3.688615e+01
2.985038e+07	3.754573e+01
3.012714e+07	3.821702e+01
3.040646e+07	3.890018e+01
3.068838e+07	3.959554e+01
3.097291e+07	4.030897e+01
3.126007e+07	4.103600e+01
3.154990e+07	4.177521e+01
3.184242e+07	4.252617e+01
3.213764e+07	4.329062e+01
3.243561e+07	4.406565e+01
3.273634e+07	4.485407e+01
3.303985e+07	4.566005e+01
3.334618e+07	4.648672e+01
3.365535e+07	4.732836e+01
3.396739e+07	4.818475e+01
3.428231e+07	4.905654e+01
3.460016e+07	4.994353e+01
3.492096e+07	5.084543e+01
3.524473e+07	5.176362e+01
3.557150e+07	5.270014e+01
3.590130e+07	5.365395e+01
3.623416e+07	5.462492e+01
3.657011e+07	5.561322e+01
3.690917e+07	5.661941e+01
3.725137e+07	5.764425e+01
3.759675e+07	5.868774e+01
3.794533e+07	5.975176e+01
3.829714e+07	6.083868e+01
3.865221e+07	6.194537e+01
3.901058e+07	6.307310e+01
3.937226e+07	6.422156e+01
3.973730e+07	6.539014e+01
4.010573e+07	6.657812e+01
4.047757e+07	6.778768e+01
4.085286e+07	6.902698e+01
4.123163e+07	7.029100e+01
4.161391e+07	7.157690e+01
4.199973e+07	7.288314e+01
4.238913e+07	7.421321e+01
4.278214e+07	7.557131e+01
4.317880e+07	7.695535e+01
4.357913e+07	7.836006e+01
4.398317e+07	7.977768e+01
4.439097e+07	8.122094e+01
4.480254e+07	8.271652e+01
4.521792e+07	8.424790e+01
4.563716e+07	8.580409e+01
4.606029e+07	8.737857e+01
4.648734e+07	8.898194e+01
4.691835e+07	9.061262e+01
4.735335e+07	9.227245e+01
4.779239e+07	9.396248e+01
4.823549e+07	9.568282e+01
4.868271e+07	9.743465e+01
4.913407e+07	9.920708e+01
4.958962e+07	1.010075e+02
5.004939e+07	1.028498e+02
5.051342e+07	1.047577e+02
5.098176e+07	1.067010e+02
5.145444e+07	1.086665e+02
5.193150e+07	1.106626e+02
5.241298e+07	1.126962e+02
5.289893e+07	1.147702e+02
5.338938e+07	1.168823e+02
5.388438e+07	1.190361e+02
5.438397e+07	1.212308e+02
5.488820e+07	1.234600e+02
5.539709e+07	1.257051e+02
5.591071e+07	1.279912e+02
5.642908e+07	1.303437e+02
5.695227e+07	1.327511e+02
5.748030e+07	1.352032e+02
5.801323e+07	1.377016e+02
5.855110e+07	1.402461e+02
5.909396e+07	1.428376e+02
5.964185e+07	1.454769e+02
6.019482e+07	1.481620e+02
6.075292e+07	1.508812e+02
6.131619e+07	1.536504e+02
6.188468e+07	1.564878e+02
6.245845e+07	1.593869e+02
6.303753e+07	1.623385e+02
6.362198e+07	1.653384e+02
6.421186e+07	1.683937e+02
6.480720e+07	1.714779e+02
6.540806e+07	1.746030e+02
6.601449e+07	1.777978e+02
6.662655e+07	1.811340e+02
6.724427e+07	1.845327e+02
6.786773e+07	1.879291e+02
6.849697e+07	1.913481e+02
6.913204e+07	1.948446e+02
6.977300e+07	1.985190e+02
