#fa/C	ma
8.627237e+07	5.123398e+00
8.747496e+07	5.219426e+00
8.869432e+07	5.318176e+00
8.993067e+07	5.419634e+00
9.118425e+07	5.524651e+00
9.245531e+07	5.632326e+00
9.374409e+07	5.743656e+00
9.505083e+07	5.857945e+00
9.637579e+07	5.975244e+00
9.771921e+07	6.097416e+00
9.908137e+07	6.222762e+00
1.004625e+08	6.351628e+00
1.018629e+08	6.483674e+00
1.032828e+08	6.618991e+00
1.047225e+08	6.759485e+00
1.061823e+08	6.903820e+00
1.076624e+08	7.053209e+00
1.091632e+08	7.206289e+00
1.106848e+08	7.363195e+00
1.122277e+08	7.525623e+00
1.137921e+08	7.692372e+00
1.153783e+08	7.864307e+00
1.169866e+08	8.040907e+00
1.186174e+08	8.222430e+00
1.202708e+08	8.409521e+00
1.219473e+08	8.601484e+00
1.236472e+08	8.799493e+00
1.253708e+08	9.002899e+00
1.271184e+08	9.212048e+00
1.288904e+08	9.427515e+00
1.306870e+08	9.648642e+00
1.325087e+08	9.876622e+00
1.343558e+08	1.011080e+01
1.362287e+08	1.035159e+01
1.381276e+08	1.059954e+01
1.400531e+08	1.085407e+01
1.420053e+08	1.111663e+01
1.439848e+08	1.138616e+01
1.459919e+08	1.166310e+01
1.480269e+08	1.194823e+01
1.500903e+08	1.224094e+01
1.521825e+08	1.254217e+01
1.543038e+08	1.285176e+01
1.564548e+08	1.317040e+01
1.586357e+08	1.349836e+01
1.608469e+08	1.383522e+01
1.630891e+08	1.418353e+01
1.653624e+08	1.454084e+01
1.676675e+08	1.490750e+01
1.700047e+08	1.528343e+01
1.723745e+08	1.566902e+01
1.747773e+08	1.606785e+01
1.772136e+08	1.647750e+01
1.796838e+08	1.689874e+01
1.821885e+08	1.733207e+01
1.847281e+08	1.777711e+01
1.873032e+08	1.823505e+01
1.899141e+08	1.870624e+01
1.925614e+08	1.919223e+01
1.952456e+08	1.969055e+01
1.979672e+08	2.020171e+01
2.007267e+08	2.072745e+01
2.035248e+08	2.126805e+01
2.063618e+08	2.182505e+01
2.092383e+08	2.239738e+01
2.121550e+08	2.298510e+01
2.151123e+08	2.359001e+01
2.181109e+08	2.421172e+01
2.211512e+08	2.485166e+01
2.242340e+08	2.550884e+01
2.273597e+08	2.618358e+01
2.305289e+08	2.687593e+01
2.337424e+08	2.758808e+01
2.370006e+08	2.832242e+01
2.403043e+08	2.907912e+01
2.436540e+08	2.985763e+01
2.470504e+08	3.065347e+01
2.504942e+08	3.147197e+01
2.539859e+08	3.231596e+01
2.575263e+08	3.318334e+01
2.611161e+08	3.407446e+01
2.647559e+08	3.499072e+01
2.684465e+08	3.593337e+01
2.721885e+08	3.690575e+01
2.759826e+08	3.790071e+01
2.798297e+08	3.892009e+01
2.837304e+08	3.997350e+01
2.876854e+08	4.105651e+01
2.916956e+08	4.217070e+01
2.957617e+08	4.331719e+01
2.998844e+08	4.449627e+01
3.040646e+08	4.570541e+01
3.083031e+08	4.694701e+01
3.126007e+08	4.822166e+01
3.169582e+08	4.953395e+01
3.213764e+08	5.088417e+01
3.258562e+08	5.227300e+01
3.303985e+08	5.370136e+01
3.350041e+08	5.517342e+01
3.396739e+08	5.668431e+01
3.444087e+08	5.823541e+01
3.492096e+08	5.983244e+01
3.540774e+08	6.147357e+01
3.590130e+08	6.315939e+01
3.640175e+08	6.489223e+01
3.690917e+08	6.667328e+01
3.742366e+08	6.850127e+01
3.794533e+08	7.038047e+01
3.847427e+08	7.231647e+01
3.901058e+08	7.430671e+01
3.955436e+08	7.635259e+01
4.010573e+08	7.845847e+01
4.066478e+08	8.062235e+01
4.123163e+08	8.284309e+01
4.180637e+08	8.512853e+01
4.238913e+08	8.748031e+01
4.298001e+08	8.990270e+01
4.357913e+08	9.239179e+01
4.418660e+08	9.494341e+01
4.480254e+08	9.756490e+01
4.542706e+08	1.002582e+02
4.606029e+08	1.030323e+02
4.670234e+08	1.058851e+02
4.735335e+08	1.088206e+02
4.801343e+08	1.118368e+02
4.868271e+08	1.149359e+02
4.936132e+08	1.181311e+02
5.004939e+08	1.214145e+02
5.074705e+08	1.247729e+02
5.145444e+08	1.282340e+02
5.217169e+08	1.318019e+02
5.289893e+08	1.354636e+02
5.363631e+08	1.392263e+02
5.438397e+08	1.430980e+02
5.514206e+08	1.470758e+02
5.591071e+08	1.511621e+02
5.669007e+08	1.553651e+02
5.748030e+08	1.596859e+02
5.828155e+08	1.641273e+02
5.909396e+08	1.686958e+02
5.991770e+08	1.733959e+02
6.075292e+08	1.782208e+02
6.159978e+08	1.831791e+02
6.245845e+08	1.882838e+02
6.332908e+08	1.935295e+02
6.421186e+08	1.989199e+02
