"fa, dNeff_GG, dNeff_full"
3917101.49080926,0.0114318103683266,0.0338360815852723
4008806.32889846,0.0107636385387197,0.0323648076570326
4102658.10582719,0.010133828736765,0.0309205045201698
4198707.08444391,0.00954025602847797,0.0295531743777774
4297004.70432084,0.00898090803440369,0.0282417414015895
4397603.60930272,0.00845386902859244,0.0269816195596966
4500557.6757005,0.00795732136163969,0.0258009543440678
4605922.0411451,0.00748954395407657,0.0246598029009345
4713753.13411673,0.00704890948976138,0.0235693608193925
4824108.70416537,0.00663387859302459,0.0225009575681128
4937047.852839,0.00624299550124421,0.021508623268341
5052631.06533568,0.00587488390489537,0.0205639798504458
5170920.24289676,0.00552824295376701,0.0196423320514356
5291978.73595844,0.00520184342734073,0.0187527132421986
5415871.37807948,0.00489452406674771,0.0179289514281996
5542664.52066311,0.00460518806523465,0.0171199473552662
5672426.06849198,0.00433279971364658,0.0163597921119925
5805225.5160949,0.00407638119607629,0.0156197835931642
5941133.98496504,0.00383500953711399,0.0149297449743013
6080224.26164943,0.003607813681962,0.014263913663847
6222570.83673023,0.0033939937759652,0.0136070600503206
6368249.94471859,0.00319275801280039,0.0130115462018711
6517339.60488242,0.00300337394419066,0.0124318114845972
6669919.66303011,0.00282515176813991,0.0118698080978635
6826071.83427239,0.00265742391001883,0.0113377480189321
6985879.74678525,0.00249959048643474,0.0108242770629014
7149428.98659758,0.00235108003117421,0.0103275273281353
7316807.14342719,0.00221134712965712,0.00986100573927022
7488103.85759003,0.00207987774059592,0.00942182612475918
7663410.86800746,0.00195618744570248,0.00901116013410283
7842822.06133768,0.00183981979135446,0.0085952272257554
8026433.52225717,0.00173034471807271,0.00822146724422881
8214343.58491942,0.00162735707368194,0.00784712389669506
8406652.88561832,0.00153047520616554,0.00749805903941212
8603464.41668451,0.00143933963236381,0.0071692589349677
8804883.58164346,0.00135361177881137,0.00683828121122828
9011018.25166502,0.00127297279114229,0.00653199497239041
9221978.82333432,0.00119712240864115,0.00623783294467822
9437878.27777539,0.00112577790065242,0.00595865350143684
9658832.24115871,0.00105867306151575,0.00569270685720546
9884959.04662559,0.000995557262126183,0.00542116583582786
10116379.7976621,0.000936194552448262,0.00519061478123152
10353218.4329566,0.000880362815971458,0.00495489721843799
10595601.7927761,0.000827852970668826,0.00473889284874528
10843659.6868961,0.000778468215087845,0.00451956938583557
11097524.9641207,0.000732023317001032,0.00431161185269836
11357333.5834311,0.000688343942345778,0.00410435428396694
11623224.6867985,0.000647266022365924,0.00392534172521752
11895340.6737032,0.0006086351564307,0.00375958996115154
12173827.2773966,0.000572306049780035,0.00358842248422751
12458833.6429501,0.000538141982510538,0.00341163301190862
12750512.4071301,0.000506007496226924,0.00327282847116319
13049019.780144,0.000475785500495816,0.00312543025784904
13354515.629299,0.00044736625938028,0.00298646207660505
13667163.5646201,0.00042064249409154,0.00284457399360995
13987131.0264724,0.000395513282319467,0.00271443733570452
14314589.3752348,0.000371883690530091,0.00259675468116578
14649713.9830728,0.000349664411640199,0.00248051370741642
14992684.3278605,0.000328771439970767,0.00236366207389917
